2024-07-24 09:59:19.283 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-07-24 09:59:19.283 [info] Added views:workbench.panel.output in workbench.panel.output
2024-07-24 09:59:19.283 [info] Added views:terminal in terminal
2024-07-24 09:59:19.283 [info] Added views:outline in workbench.view.explorer
2024-07-24 09:59:19.283 [info] Added views:workbench.scm in workbench.view.scm
2024-07-24 09:59:19.283 [info] Added views:workbench.view.search in workbench.view.search
2024-07-24 09:59:19.283 [info] Added views:timeline in workbench.view.explorer
2024-07-24 09:59:19.283 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-24 09:59:19.629 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-07-24 09:59:20.674 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-24 09:59:21.523 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-07-24 10:01:40.328 [info] Removed views:workbench.explorer.fileView from workbench.view.explorer
2024-07-24 10:01:40.339 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-07-24 10:01:40.693 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-24 10:01:40.800 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-24 10:01:43.916 [info] Removed views:workbench.explorer.emptyView from workbench.view.explorer
2024-07-24 10:01:43.932 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-24 10:01:44.494 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-24 10:01:44.663 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-24 10:06:11.320 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2024-07-24 10:07:26.443 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-07-24 10:07:26.448 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-07-24 10:08:42.482 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-07-24 10:08:42.488 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-07-24 10:08:42.500 [info] Removed views:workbench.explorer.fileView from workbench.view.explorer
2024-07-24 10:08:42.513 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-07-24 10:08:43.235 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-24 10:08:43.428 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-24 10:08:46.284 [info] Removed views:workbench.explorer.emptyView from workbench.view.explorer
2024-07-24 10:08:46.298 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-24 10:08:46.893 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-24 10:08:47.004 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-24 10:11:32.635 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-07-24 10:11:32.668 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-07-24 10:13:29.315 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-24 10:13:29.322 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
